구별,CCTV갯수,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율
강남구,2780,1549.28,570500.0,565550.0,4950.0,63167.0,0.87,11.07
강동구,773,558.12,453233.0,449019.0,4214.0,54622.0,0.93,12.05
강북구,748,374.52,330192.0,326686.0,3506.0,54813.0,1.06,16.6
강서구,884,331.49,603772.0,597248.0,6524.0,72548.0,1.08,12.02
관악구,1496,1033.73,525515.0,507203.0,18312.0,68082.0,3.48,12.96
광진구,707,240.61,372164.0,357211.0,14953.0,42214.0,4.02,11.34
구로구,1561,584.15,447874.0,416487.0,31387.0,56833.0,7.01,12.69
금천구,1015,630.57,255082.0,236353.0,18729.0,32970.0,7.34,12.93
노원구,1265,977.52,569384.0,565565.0,3819.0,71941.0,0.67,12.63
도봉구,485,494.81,348646.0,346629.0,2017.0,51312.0,0.58,14.72
동대문구,1294,779.15,369496.0,354079.0,15417.0,54173.0,4.17,14.66
동작구,1091,479.68,412520.0,400456.0,12064.0,56013.0,2.92,13.58
마포구,574,585.58,389649.0,378566.0,11083.0,48765.0,2.84,12.52
서대문구,962,365.92,327163.0,314982.0,12181.0,48161.0,3.72,14.72
서초구,1930,745.17,450310.0,445994.0,4316.0,51733.0,0.96,11.49
성동구,1062,518.47,311244.0,303380.0,7864.0,39997.0,2.53,12.85
성북구,1464,571.73,461260.0,449773.0,11487.0,64692.0,2.49,14.03
송파구,618,534.97,667483.0,660584.0,6899.0,72506.0,1.03,10.86
양천구,2034,504.7,479978.0,475949.0,4029.0,52975.0,0.84,11.04
영등포구,904,611.23,402985.0,368072.0,34913.0,52413.0,8.66,13.01
용산구,1624,525.94,244203.0,229456.0,14747.0,36231.0,6.04,14.84
은평구,1873,765.68,494388.0,489943.0,4445.0,72334.0,0.9,14.63
중구,671,466.0,133240.0,124312.0,8928.0,20764.0,6.7,15.58
중랑구,660,309.77,414503.0,409882.0,4621.0,56774.0,1.11,13.7
