행정구역,2024년_거주자_총인구수,2024년_거주자_연령구간인구수,2024년_거주자_0~9세,2024년_거주자_10~19세,2024년_거주자_20~29세,2024년_거주자_30~39세,2024년_거주자_40~49세,2024년_거주자_50~59세,2024년_거주자_60~69세,2024년_거주자_70~79세,2024년_거주자_80~89세,2024년_거주자_90~99세,2024년_거주자_100세 이상,2024년_남_거주자_총인구수,2024년_남_거주자_연령구간인구수,2024년_남_거주자_0~9세,2024년_남_거주자_10~19세,2024년_남_거주자_20~29세,2024년_남_거주자_30~39세,2024년_남_거주자_40~49세,2024년_남_거주자_50~59세,2024년_남_거주자_60~69세,2024년_남_거주자_70~79세,2024년_남_거주자_80~89세,2024년_남_거주자_90~99세,2024년_남_거주자_100세 이상,2024년_여_거주자_총인구수,2024년_여_거주자_연령구간인구수,2024년_여_거주자_0~9세,2024년_여_거주자_10~19세,2024년_여_거주자_20~29세,2024년_여_거주자_30~39세,2024년_여_거주자_40~49세,2024년_여_거주자_50~59세,2024년_여_거주자_60~69세,2024년_여_거주자_70~79세,2024년_여_거주자_80~89세,2024년_여_거주자_90~99세,2024년_여_거주자_100세 이상,2025년_거주자_총인구수,2025년_거주자_연령구간인구수,2025년_거주자_0~9세,2025년_거주자_10~19세,2025년_거주자_20~29세,2025년_거주자_30~39세,2025년_거주자_40~49세,2025년_거주자_50~59세,2025년_거주자_60~69세,2025년_거주자_70~79세,2025년_거주자_80~89세,2025년_거주자_90~99세,2025년_거주자_100세 이상,2025년_남_거주자_총인구수,2025년_남_거주자_연령구간인구수,2025년_남_거주자_0~9세,2025년_남_거주자_10~19세,2025년_남_거주자_20~29세,2025년_남_거주자_30~39세,2025년_남_거주자_40~49세,2025년_남_거주자_50~59세,2025년_남_거주자_60~69세,2025년_남_거주자_70~79세,2025년_남_거주자_80~89세,2025년_남_거주자_90~99세,2025년_남_거주자_100세 이상,2025년_여_거주자_총인구수,2025년_여_거주자_연령구간인구수,2025년_여_거주자_0~9세,2025년_여_거주자_10~19세,2025년_여_거주자_20~29세,2025년_여_거주자_30~39세,2025년_여_거주자_40~49세,2025년_여_거주자_50~59세,2025년_여_거주자_60~69세,2025년_여_거주자_70~79세,2025년_여_거주자_80~89세,2025년_여_거주자_90~99세,2025년_여_거주자_100세 이상,2024년_Primary,2024년_Primary_비율,2024년_Secondary,2024년_Secondary_비율,2024년_Tertiary,2024년_Tertiary_비율,2024년_Other,2024년_Other_비율,2025년_Primary,2025년_Primary_비율,2025년_Secondary,2025년_Secondary_비율,2025년_Tertiary,2025년_Tertiary_비율,2025년_Other,2025년_Other_비율,2026년_Primary_예상,2026년_Secondary_예상,2026년_Tertiary_예상,2026년_Other_예상,2026년_총인구수_예상,2026년_Primary_예상비율,2026년_Secondary_예상비율,2026년_Tertiary_예상비율,2026년_Other_예상비율,위도,경도
경기도성남시,"907,236","907,236","56,953","81,501","111,566","133,888","142,375","151,623","128,104","65,577","30,505","5,021",123,"448,297","448,297","29,021","41,536","56,993","68,910","70,648","75,184","62,482","30,104","12,098","1,287",34,"458,939","458,939","27,932","39,965","54,573","64,978","71,727","76,439","65,622","35,473","18,407","3,734",89,"900,157","900,157","54,127","81,059","105,170","133,807","139,792","149,129","129,153","70,728","31,537","5,508",147,"444,365","444,365","27,628","41,329","53,511","69,093","69,336","73,979","62,840","32,542","12,620","1,450",37,"455,792","455,792","26,499","39,730","51,659","64,714","70,456","75,150","66,313","38,186","18,917","4,058",110,101226,11.16,128104,14.12,620953,68.44,56953,6.28,107920,11.99,129153,14.35,608957,67.65,54127,6.01,115057.0,130211.0,597193.0,51441.0,893902.0,12.87,14.57,66.81,5.75,37.4201556,127.1262092
경기도성남시수정구,"233,461","233,461","13,468","16,141","29,679","35,958","34,250","38,500","36,751","19,548","8,055","1,080",31,"117,844","117,844","6,841","8,132","15,564","19,188","18,065","19,712","18,043","8,941","3,100",252,6,"115,617","115,617","6,627","8,009","14,115","16,770","16,185","18,788","18,708","10,607","4,955",828,25,"231,061","231,061","12,688","15,923","27,923","35,392","33,536","37,793","36,998","21,149","8,418","1,215",26,"116,669","116,669","6,472","8,032","14,626","18,983","17,698","19,418","18,170","9,701","3,273",290,6,"114,392","114,392","6,216","7,891","13,297","16,409","15,838","18,375","18,828","11,448","5,145",925,20,28714,12.3,36751,15.74,154528,66.19,13468,5.77,30808,13.33,36998,16.01,150567,65.16,12688,5.49,33055.0,37247.0,146708.0,11953.0,228963.0,14.44,16.27,64.07,5.22,37.4503386,127.1462933
경기도성남시수정구신흥동,"12,210","12,210",285,585,"1,549","1,639","1,624","2,303","2,429","1,206",527,63,0,"6,506","6,506",150,305,849,974,959,"1,318","1,219",530,189,13,0,"5,704","5,704",135,280,700,665,665,985,"1,210",676,338,50,0,"11,964","11,964",239,570,"1,414","1,615","1,556","2,263","2,389","1,321",527,69,1,"6,386","6,386",125,291,758,981,921,"1,323","1,204",581,189,13,0,"5,578","5,578",114,279,656,634,635,940,"1,185",740,338,56,1,1796,14.71,2429,19.89,7700,63.06,285,2.33,1918,16.03,2389,19.97,7418,62.0,239,2.0,2048.0,2350.0,7146.0,200.0,11744.0,17.44,20.01,60.85,1.7,37.44668,127.14705
경기도성남시수정구신흥동,"31,264","31,264","3,016","2,179","3,316","6,058","4,892","4,733","4,259","2,047",660,101,3,"15,138","15,138","1,522","1,075","1,666","2,960","2,505","2,170","1,962",983,273,22,0,"16,126","16,126","1,494","1,104","1,650","3,098","2,387","2,563","2,297","1,064",387,79,3,"31,500","31,500","3,031","2,197","3,110","5,916","5,068","4,698","4,360","2,267",743,106,4,"15,291","15,291","1,537","1,086","1,577","2,897","2,608","2,144","2,013","1,081",323,25,0,"16,209","16,209","1,494","1,111","1,533","3,019","2,460","2,554","2,347","1,186",420,81,4,2811,8.99,4259,13.62,21178,67.74,3016,9.65,3120,9.9,4360,13.84,20989,66.63,3031,9.62,3463.0,4463.0,20802.0,3046.0,31774.0,10.9,14.05,65.47,9.59,37.44668,127.14705
경기도성남시수정구신흥동,"10,612","10,612",282,508,"1,398","1,518","1,421","1,993","2,000","1,001",440,51,0,"5,668","5,668",143,259,743,889,817,"1,134","1,051",450,171,11,0,"4,944","4,944",139,249,655,629,604,859,949,551,269,40,0,"10,556","10,556",265,481,"1,330","1,511","1,366","1,978","2,026","1,069",474,55,1,"5,657","5,657",136,243,708,878,788,"1,119","1,080",500,189,16,0,"4,899","4,899",129,238,622,633,578,859,946,569,285,39,1,1492,14.06,2000,18.85,6838,64.44,282,2.66,1599,15.15,2026,19.19,6666,63.15,265,2.51,1714.0,2052.0,6498.0,249.0,10513.0,16.3,19.52,61.81,2.37,37.44668,127.14705
경기도성남시수정구태평동,"13,799","13,799",325,607,"2,370","1,876","1,708","2,283","2,345","1,524",685,74,2,"7,153","7,153",151,335,"1,265","1,087",945,"1,236","1,171",664,281,18,0,"6,646","6,646",174,272,"1,105",789,763,"1,047","1,174",860,404,56,2,"13,412","13,412",273,547,"2,233","1,862","1,569","2,175","2,362","1,582",721,87,1,"6,937","6,937",123,288,"1,212","1,077",884,"1,189","1,164",700,280,20,0,"6,475","6,475",150,259,"1,021",785,685,986,"1,198",882,441,67,1,2285,16.56,2345,16.99,8844,64.09,325,2.36,2391,17.83,2362,17.61,8386,62.53,273,2.04,2502.0,2379.0,7952.0,229.0,13062.0,19.15,18.21,60.88,1.75,37.446433,127.1319544
경기도성남시수정구태평동,"13,934","13,934",457,815,"1,968","2,011","1,741","2,505","2,369","1,335",647,80,6,"7,025","7,025",226,413,"1,069","1,114",944,"1,272","1,170",569,230,18,0,"6,909","6,909",231,402,899,897,797,"1,233","1,199",766,417,62,6,"13,566","13,566",398,753,"1,791","1,964","1,666","2,410","2,390","1,437",651,104,2,"6,831","6,831",188,383,971,"1,109",898,"1,240","1,176",605,235,26,0,"6,735","6,735",210,370,820,855,768,"1,170","1,214",832,416,78,2,2068,14.84,2369,17.0,9040,64.88,457,3.28,2194,16.17,2390,17.62,8584,63.28,398,2.93,2328.0,2411.0,8151.0,347.0,13237.0,17.59,18.21,61.58,2.62,37.446433,127.1319544
경기도성남시수정구태평동,"11,891","11,891",345,724,"1,451","1,545","1,499","2,234","2,295","1,233",509,56,0,"6,107","6,107",175,354,825,871,784,"1,157","1,188",559,179,15,0,"5,784","5,784",170,370,626,674,715,"1,077","1,107",674,330,41,0,"11,508","11,508",308,668,"1,328","1,453","1,439","2,143","2,294","1,304",514,56,1,"5,904","5,904",154,333,733,830,760,"1,109","1,200",586,183,16,0,"5,604","5,604",154,335,595,623,679,"1,034","1,094",718,331,40,1,1798,15.12,2295,19.3,7453,62.68,345,2.9,1875,16.29,2294,19.93,7031,61.1,308,2.68,1955.0,2293.0,6633.0,275.0,11156.0,17.52,20.55,59.46,2.47,37.446433,127.1319544
경기도성남시수정구태평동,"11,186","11,186",330,815,"1,607","1,404","1,460","2,054","1,880","1,022",539,74,1,"5,763","5,763",175,429,858,828,772,"1,063",958,454,203,23,0,"5,423","5,423",155,386,749,576,688,991,922,568,336,51,1,"10,846","10,846",301,763,"1,462","1,409","1,347","1,984","1,854","1,099",536,90,1,"5,577","5,577",160,395,762,838,726,"1,042",937,490,204,23,0,"5,269","5,269",141,368,700,571,621,942,917,609,332,67,1,1636,14.63,1880,16.81,7340,65.62,330,2.95,1726,15.91,1854,17.09,6965,64.22,301,2.78,1821.0,1828.0,6609.0,275.0,10533.0,17.29,17.35,62.75,2.61,37.446433,127.1319544
경기도성남시수정구수진동,"11,003","11,003",208,483,"1,310","1,343","1,239","2,161","2,366","1,286",547,58,2,"5,818","5,818",107,255,749,812,715,"1,169","1,214",586,199,11,1,"5,185","5,185",101,228,561,531,524,992,"1,152",700,348,47,1,"10,669","10,669",182,437,"1,178","1,310","1,188","2,010","2,363","1,387",542,70,2,"5,673","5,673",90,228,678,795,695,"1,093","1,250",632,198,13,1,"4,996","4,996",92,209,500,515,493,917,"1,113",755,344,57,1,1893,17.2,2366,21.5,6536,59.4,208,1.89,2001,18.76,2363,22.15,6123,57.39,182,1.71,2115.0,2360.0,5736.0,159.0,10370.0,20.4,22.76,55.31,1.53,37.4389492,127.1296112
